rating,review_text,device,true_label,vader_compound,vader_label,vader_pred_rating,bert_label,bert_score,bert_pred_rating,wc_score,wc_label,wc_pred_rating,hard_vote_label,hard_vote_pred_rating,soft_vote_pred_rating,soft_vote_label,bagging_pred_rating,bagging_pred_std,bagging_label
4,"6,583 Reviews 1,63,435 24,703",iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9407995343208312,4.763198137283325,0.0,Neutral,3.0,Neutral,3.0,3.7052792549133304,Neutral,3.906499895189272,0.2182966918539616,Positive
5,Super and cool photo,iPhone 16,Positive,0.7351,Positive,4.4702,Positive,0.9998801946640016,4.999520778656006,1.0,Positive,5.0,Positive,4.5,4.787888311462402,Positive,4.462662057546612,0.3254642188251542,Positive
5,Such an great experience,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998594522476196,4.999437808990479,1.0,Positive,5.0,Positive,4.5,4.699695123596192,Positive,4.442032352957975,0.27948907975954274,Positive
5,with unbeatable video performance. Tip-top performance A18 Chip. best value offering.,iPhone 16,Positive,0.765,Positive,4.53,Positive,0.9973549842834472,4.989419937133789,1.0,Positive,5.0,Positive,4.5,4.807767974853516,Positive,4.462309060352041,0.33213689306859007,Positive
5,such a beautiful color,iPhone 16,Positive,0.5994,Positive,4.1988,Positive,0.9998795986175536,4.999518394470215,1.0,Positive,5.0,Positive,4.5,4.679327357788086,Positive,4.399772553617496,0.26884534721796316,Positive
5,Doing good as of now!,iPhone 16,Positive,0.4926,Positive,3.9852,Positive,0.99984872341156,4.99939489364624,1.0,Positive,5.0,Positive,4.5,4.593837957458496,Positive,4.42874045703376,0.22042697698151067,Positive
5,Value for money,iPhone 16,Positive,0.34,Positive,3.68,Positive,0.9977725148200988,4.991090059280396,0.0,Neutral,3.0,Positive,4.5,4.0684360237121595,Positive,4.104842109194376,0.03930785384301245,Positive
5,"Best phone, best feature charge, best performance, I love this iPhone 16.",iPhone 16,Positive,0.9571,Positive,4.9142,Positive,0.9994850158691406,4.9979400634765625,1.0,Positive,5.0,Positive,4.5,4.964856025390625,Positive,4.56909907055545,0.41210216430499463,Positive
5,Love the quality of pics it takes,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.999875545501709,4.999502182006836,1.0,Positive,5.0,Positive,4.5,4.709320872802735,Positive,4.41577808973403,0.2823984227363853,Positive
5,"Compact, easy to carry. Like it",iPhone 16,Positive,0.6597,Positive,4.3194,Positive,0.9998472929000854,4.999389171600342,1.0,Positive,5.0,Positive,4.5,4.7275156686401365,Positive,4.5297617840514155,0.275758991854131,Positive
5,iOS is always amazing.,iPhone 16,Positive,0.5859,Positive,4.1718,Positive,0.9998774528503418,4.999509811401367,1.0,Positive,5.0,Positive,4.5,4.668523924560548,Positive,4.352012485048764,0.25886539305148976,Positive
5,Fell in love with the colour,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9984971284866332,4.993988513946533,1.0,Positive,5.0,Positive,4.5,4.707115405578613,Positive,4.434127156340705,0.28445756765333774,Positive
4,Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,iPhone 16,Positive,-0.25,Negative,2.5,Negative,0.0008906722068786,1.0035626888275146,-1.0,Negative,1.0,Negative,1.5,1.6014250755310058,Negative,2.565971162517604,1.2320954984358425,Neutral
